f,uwe2,uwy2,fi2,uwe3,uwy3,fi3
1000,1.107,1.074,-12.3,1.108,1.106,0
2000,1.105,0.999,-24.3,1.112,1.11,0
3000,1.095,0.877,-35.8,1.112,1.11,0
4000,1.087,0.729,-46.4,1.111,1.109,0
5000,1.08,0.57,-55.8,1.107,1.105,0
6000,1.074,0.413,-63.5,1.098,1.096,0
7000,1.071,0.265,-68.7,1.067,1.064,0
8000,1.068,0.133,-67.3,0.872,0.871,-0.1
8200,1.069,0.109,-64.5,0.758,0.757,-0.1
8400,1.068,0.086,-59.7,0.628,0.626,-0.1
8600,1.068,0.065,-51,0.551,0.55,0
8800,1.068,0.049,-34.8,0.574,0.572,0.1
9000,1.068,0.04,-7.5,0.654,0.653,0.1
9200,1.068,0.045,24.3,0.743,0.742,0.1
9400,1.068,0.057,41.8,0.819,0.818,0.1
9600,1.068,0.074,52.5,0.879,0.878,0.1
9800,1.068,0.093,58.4,0.925,0.924,0.1
10000,1.069,0.112,61.9,0.96,0.957,0.1
12000,1.071,0.287,65.2,1.076,1.073,0.1
14000,1.074,0.426,60.1,1.094,1.093,0
16000,1.078,0.536,54.8,1.101,1.099,0
18000,1.082,0.622,50.2,1.104,1.102,0
20000,1.085,0.692,46.1,1.105,1.104,0